PAR_GROUP,PAR_NAME,PAR_TYPE,PAR_LENGTH,PAR_INIT,REG_MODE_NONE_ONLY,REG_FIELD_REG,REG_CURRENT_REG,REG_PAR_SIM_VS,REG_PAR_INVERT_LIMITS,REG_PAR_V_LIMITS_REF,REG_PAR_V_LIMITS_ERR,REG_PAR_I_LIMITS_MEAS,REG_PAR_I_LIMITS_REF,REG_PAR_I_LIMITS_ERR,REG_PAR_B_LIMITS_MEAS,REG_PAR_B_LIMITS_REF,REG_PAR_B_LIMITS_ERR,REG_PAR_I_LIMITS_RMS,REG_PAR_I_LIMITS_RMS_LOAD,REG_PAR_I_MEAS_REG_SELECT,REG_PAR_I_MEAS_FILTER,REG_PAR_B_MEAS_REG_SELECT,REG_PAR_B_MEAS_FILTER,REG_PAR_MEAS_SIM_DELAYS,REG_PAR_MEAS_SIM_NOISE_AND_TONE,REG_PAR_LOAD,REG_PAR_LOAD_SAT,REG_PAR_LOAD_SIM,REG_PAR_IREG_OP,REG_PAR_IREG_TEST,REG_PAR_BREG_OP,REG_PAR_BREG_TEST
MEAS,B_REG_SELECT,enum reg_meas_select,1,REG_MEAS_UNFILTERED,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
MEAS,I_REG_SELECT,enum reg_meas_select,1,REG_MEAS_UNFILTERED,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO
MEAS,B_DELAY_ITERS,float,1,1.3,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES
MEAS,I_DELAY_ITERS,float,1,1.3,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
MEAS,V_DELAY_ITERS,float,1,1.3,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES
MEAS,B_FIR_LENGTHS,uint32_t,2,1,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES
MEAS,I_FIR_LENGTHS,uint32_t,2,1,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO
MEAS,B_SIM_NOISE_PP,float,1,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
MEAS,I_SIM_NOISE_PP,float,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
MEAS,V_SIM_NOISE_PP,float,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
MEAS,TONE_HALF_PERIOD_ITERS,uint32_t,1,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
MEAS,B_SIM_TONE_AMP,float,1,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
MEAS,I_SIM_TONE_AMP,float,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
VS,V_REF_DELAY_ITERS,float,1,1,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES
VS,BANDWIDTH,float,1,1000,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
VS,Z,float,1,0.9,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
VS,TAU_ZERO,float,1,0,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
VS,SIM_NUM,float,REG_N_VS_SIM_COEFFS,0,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
VS,SIM_DEN,float,REG_N_VS_SIM_COEFFS,0,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
